,school,count
208,湖南师范大学音乐学院,1
209,香港理工大学工商管理学,1
210,美国罗格斯大学经济系,1
211,南京大学外国语学院,1
212,北影艺校09届表演系,1
213,广东省韶关市第一中学,1
214,亚凯迪亚高中（Arcadia High School）10年级,1
215,李求恩纪念中学,1
216,重庆求精商业专科学校,1
217,中共中央党校研究生院,1
218,香港圣堂中学,1
219,中央音乐学院附中,1
220,美国圣地亚哥大学心理戏剧系,1
221,吉林建筑大学管理学院工程管理专业,1
222,香港国际学校,1
223,汕头文化艺术学校,1
224,逢甲大学中文系,1
225,北京艺术设计学院,1
226,西安交通大学国际经济贸易管理专业,1
227,南开大学,1
228,瑞典耶夫勒国立大学,1
229,国立台湾师范大学音乐系,1
230,南开大学英语系,1
231,贵州民族大学,1
232,华东师范大学,1
233,淡江大学日文系,1
234,北京现代音乐学院；中央民族大学,1
235,国中辍学,1
236,American International School,1
237,济宁学院文化传播系,1
238,北京化工大学北方学院,1
239,北京21世纪实验学校（肄业）,1
240,台湾省新竹县立湖口高级中学,1
241,北京体育大学体育舞蹈专业,1
242,上海音乐学院民乐系,1
243,延边大学,1
244,解放军艺术学院/北京工业职业技术学院,1
245,多媒体大学主修电影和动画系,1
246,德望学校,1
247,中央音乐学院歌剧系,1
248,辅仁大学,1
249,国立成功大学,1
250,北大,1
251,武汉音乐学院,1
252,湖南艺术学院,1
253,中国戏曲学院京剧表演专业,1
254,北京第二外语学院,1
255,李贤尧纪念中学,1
256,广西创艺艺术职业学校,1
257,美国华盛顿大学,1
258,江西教育学院,1
259,中国艺术研究院(1985年),1
260,北京广播学院,1
261,华冈艺校,1
262,中国科技大学(台湾)（原名为：中国市政专科学校）,1
263,“富连成”科班,1
264,北京现代音乐研修学院音乐制作系2009级,1
265,中央戏剧学院,1
266,孔祥东音乐学院,1
267,香港中文大学,1
268,安徽医科大学,1
269,日本名古屋大学,1
270,沈阳音乐学院（本科）,1
271,观塘利玛窦书院中五毕业,1
272,美国加州州立大学音乐系,1
273,华冈艺校戏剧科,1
274,四川外国语大学成都学院,1
275,沙田官立中学,1
276,四川师范大学表演系,1
277,湖南大众传媒学院,1
278,首都师范大学音乐学院,1
279,纽约大学艺术行政硕士,1
280,北京电影学院〔在读〕,1
281,广东外语外贸大学（休学）,1
282,英属哥伦比亚大学（UBC）,1
283,星海音乐学院现代音乐系,1
284,海南职业技术学院,1
285,沈阳大学（王小海），沈阳音乐学院（王小玮）,1
286,中央党校,1
287,西安航空职业技术学院,1
288,国立空中大学生活科学系,1
289,荷兰海牙皇家音乐学院,1
290,University of Bristol（硕士）,1
291,辽宁朝阳师范,1
292,环境工程专科毕业,1
293,杭州师范大学生命与环境科学学院（就读中）,1
294,皇家香港警察少年训练学校,1
295,无线电视艺员训练班,1
296,吉首大学,1
297,台北商专,1
298,St Andrews Junior College,1
299,美国纽约城市大学,1
300,大仁科技大学,1
301,台湾国光艺校第四届,1
302,侨光商专,1
303,香港大学工商管理系学士毕业,1
304,北京农业工程大学企业管理专业,1
305,东英格利亚大学,1
306,福安师范学校,1
307,California International (USA) School,1
308,北京演艺专修学院,1
309,伯克利音乐学院（现就读）,1
310,山东农业大学,1
311,杭州音乐学院,1
312,广州小学,1
313,文化大学体育系,1
314,台湾师范大学,1
315,河北师范学院,1
316,台湾艺术大学,1
317,南强工商影视科,1
318,中央文化管理干部学院,1
319,英国金斯顿大学,1
320,曲阜师范大学,1
321,旧金山马林大学,1
322,湖南城建职业技术学院肄业,1
323,成都科技大学（现四川大学）,1
324,成都体育学院,1
325,复旦大学法语系（2005年毕业）,1
326,台湾实践学院,1
327,上海对外经贸大学,1
328,新疆艺术学院,1
329,中央民族大学音乐,1
330,黑龙江工业学院（鸡西大学）,1
331,吉林外国语大学,1
332,北京林业大学,1
333,四川音乐学院,1
334,全球华人新秀歌唱比赛金奖,1
335,北角官立小学,1
336,美国密歇根大学,1
337,内蒙古大学艺术学院马头琴专业,1
338,香港华仁书院,1
339,香港教育学院音乐系,1
340,上海第二医科大学,1
341,北京大学新闻系（本科）；中国传媒大学（硕士）,1
342,山东大学,1
343,廊坊市电子信息工程学校,1
344,浙江大学,1
345,加利福尼亚大学洛杉矶分校,1
346,美国波士顿学院(BOSTON COLLEGE),1
347,中兴大学企业管理学系,1
348,广州星海音乐学院师范系作曲专业,1
349,北京兴华大学,1
