,school,count
901,女皇大学,1
902,南京航空航天大学,1
903,首都师范大学科德学院,1
904,上海戏剧学院2004级表演系,1
905,新加坡理工学院,1
906,北京现代音乐研修学院,1
907,哈佛社区大学经济系,1
908,广告系,1
909,北京大学艺术学系,1
910,北京联合大学,1
911,美国网络高中,1
912,西北政法大学,1
913,中央音乐学院附属中等音乐学校,1
914,德明财经科技大学,1
915,西点军校,1
916,Pacific audio visual institute,1
917,东华三院吕润财纪念中学,1
918,香港圣士提反女子中学,1
919,香港崇文英文书院,1
920,浙江省艺术学校培训,1
921,美国基督教效力会基督书院,1
922,小柯音乐学校,1
923,西南航空专修学院,1
924,北京音乐学院,1
925,北京电影学院98级表演系本科,1
926,美国伯克利音乐学院,1
927,湖南师范大学音乐系（肄业）,1
928,外交学院,1
929,文藻学院日文系,1
930,国立屏东农专畜牧科,1
931,中国人民解放军艺术学院戏剧系,1
932,美国音乐学院,1
933,新亚书院,1
934,沈阳工业大学会计学系,1
935,丽水市莲都区第二高级中学,1
936,辽宁地质学院,1
937,马来西亚音乐学院ICOM,1
938,威廉与玛丽学院,1
939,南京五中高中,1
940,北京电影学院导演系,1
941,上海音乐学院音乐剧系,1
942,明新工专土木工程科,1
943,北京大学艺术学院,1
944,青海民族大学,1
945,小齐音乐学院,1
946,北京电影学院（进修）,1
947,台湾政法大学,1
948,苏州市评弹学校,1
949,上海市戏曲学校越剧班,1
950,香港岭南中学；澳洲Epping高中,1
951,河南艺术职业学院,1
952,香港城市大学,1
953,USC,1
954,四川大学工艺美术专业,1
955,台北市华冈艺术学校,1
956,云南怒江州师范学校,1
957,香港真光书院,1
958,北京现代音乐学院流行学院华语系,1
959,杭州电子工业学院,1
960,中央戏剧学院表演系89级本科,1
961,佛教慈航中学,1
962,清华大学新闻学院本科,1
963,苏州大学艺术学院,1
964,中央音乐学院民乐系,1
965,马利诺书院,1
966,国立彰化师范大学,1
967,罗德岛设计学院,1
968,台湾高雄医学院,1
969,赤峰学院音乐学院音乐表演专业,1
970,北京中北国际演艺专修学校,1
971,吉林省戏曲学院,1
972,空军长春飞行学院,1
973,青岛科技大学,1
974,北京现代音乐学院2010级表演系本科,1
975,台北市中国文化大学音乐系,1
976,中央戏剧学院（表演系）,1
977,中央戏剧学院（进修）,1
