,company,count
206,北京电光石火文化传媒有限公司,1
207,梦响强音文化传播(上海)有限公司,1
208,维艺坊音乐,1
209,熊焱国际演艺经纪（北京）有限公司,1
210,山东影视集团,1
211,唐嫣工作室,1
212,君乐天禧（北京）文化传媒有限公司,1
213,正大国际唱片公司,1
214,白百何工作室,1
215,春生工作室,1
216,经纪人：郝经安,1
217,中视亚太国际传媒,1
218,三川娱乐,1
219,上华唱片,1
220,华谊兄弟聚星文化有限公司,1
221,鹿晗工作室,1
222,独立音乐人,1
223,美妙音乐,1
224,北京百慕文化发展有限公司,1
225,魏晨工作室,1
226,Prodigee Records,1
227,8录音乐工厂,1
228,福茂唱片,1
229,华谊兄弟时尚,1
230,极韵文化,1
231,寰亚演艺经纪（内地）,1
232,北京完美坚持工作室（李健工作室）,1
233,中联传媒股份有限公司,1
234,北京大圣先之文化传媒有限公司,1
235,上海烈火影视文化有限公司,1
236,荷塘月色文化,1
237,北斗企鹅（北京）文化传播有限公司,1
238,艺璇传媒,1
239,亚迪传媒,1
240,华谊兄弟音乐公司,1
241,神艺文化,1
242,辰星演艺经纪有限公司,1
243,深圳市索卡文化传播有限公司,1
244,飞乐唱片,1
245,香港无线电视,1
246,杰威尔音乐有限公司,1
247,环星娱乐,1
248,百娱时代国际传媒有限公司,1
249,花火乐娱（天津）文化经纪有限公司,1
250,广东乐升文化传播有限公司,1
251,北京华数唱片公司,1
252,如此有限公司,1
253,19 sixty five,1
254,和气音乐,1
255,映艺娱乐,1
256,上海曼铃文化传媒,1
257,北京千竹蕊文化传媒有限公司,1
258,东申未来（北京）文化有限公司,1
259,糖衣文化,1
260,EQC唱片,1
261,BMA 嘉禾唱片 擎天娱乐 环球,1
262,炫音音乐有限公司（台湾）,1
263,巨声传媒,1
264,新蜂音乐,1
265,安庆再芬黄梅艺术剧院,1
266,The Invisible Men,1
267,北京啊呀啦嗦音乐文化发展公司,1
268,星娱乐唱片公司,1
269,东嘉娱乐,1
270,国韵文化,1
271,未知（已退出海蝶）,1
272,种子音乐,1
273,安与骑兵工作室,1
274,亚神音乐,1
275,麦爱文化,1
276,北京万合天宜影视文化有限公司,1
277,华研国际,1
278,大鹏传播,1
279,北京巨杉音乐,1
280,良策传媒,1
281,北京升阳灵文化传播有限公司,1
282,广东孔雀唱片公司,1
283,北京臣刚天下文化传媒有限公司,1
284,Lam & Lamb Entertainment Ltd.（香港）,1
285,轶嘉国际,1
286,One Dollar Music Publishing,1
287,行星文化（张杰个人音乐厂牌）,1
288,力加太阳动力文化传播有限公司,1
289,树与天空娱乐有限公司,1
290,综艺晓松,1
291,林暐哲音乐社,1
292,东盛国际传媒,1
293,台湾飞碟唱片公司,1
294,明路文化传媒,1
295,北京天亮文化传媒有限公司,1
296,宏将多利安演艺经纪公司,1
297,北京普林赛斯文化传播有限责任公司,1
298,艺能娱乐,1
299,红人公司,1
300,简单快乐文化,1
301,如皋市水木演艺经纪工作室,1
302,嘉行天下工作室,1
303,石焱音乐,1
304,太阳娱乐文化,1
305,和和花园（北京）文化传媒有限公司,1
306,悦凯娱乐,1
307,贺敬轩工作室,1
308,廿一克有限公司,1
309,寰亚音乐,1
310,老鹰音乐,1
311,华顺文化,1
312,OWSLA,1
313,陈俊彤工作室,1
314,星河文化,1
315,壹样文艺,1
316,捷特联合（音乐）,1
317,广州品洋文化传播有限公司,1
318,GoodGirlMusic,1
319,不二文化,1
320,卡拉时代,1
321,和颂传媒,1
322,北京老班长音乐工作室,1
323,百娱经纪（内地）,1
324,央广华文（北京）文化传媒公司,1
325,刺桐花儿童音乐馆,1
326,香港电视广播有限公司,1
327,EQ唱片,1
328,梦响当然,1
329,黑龙音乐工作室,1
330,恒大音乐公司（唱片）百娱时代（演出）,1
331,豪记唱片,1
332,北京盛夏星空影视传媒有限公司,1
333,丽风,1
334,娱人制造文化传媒有限公司,1
335,中港桃园马浚伟工作室,1
336,BMG,1
337,香港电视广播有限公司（TVB）,1
338,大无限音乐,1
339,华音鼎天（北京）音乐文化有限公司,1
340,北方天狼（天狼音乐）,1
341,星梦娱乐,1
342,北京拾捌文化经纪有限公司,1
343,华杰工作室,1
344,无锡仁艺文化传媒有限公司,1
345,太和音乐（服务艺人）,1
346,北京大隐光时文化传媒有限公司,1
347,IME娱乐（中国大陆）,1
348,阔思音乐有限公司,1
349,蜂鸟音乐有限公司,1
350,恒大音乐有限公司,1
