school	count
台湾辅仁大学数学系，加州州立大学	1
孟菲斯大学	1
中国台湾明道大学	1
巴黎音乐学院	1
京畿高中，庆南大学视觉设计系	1
伦敦大学	1
庆应义塾大学法学部	1
John C. Fremont High School	1
中央戏剧学院进修	1
莱内尔高中	1
美国加州大学洛杉矶分校文化人类学系	1
南京大学外国语学院	1
国立云林科技大学	1
伦敦皇家音乐学院	1
香港科技大学生物系	1
明智专门大学 戏剧电影科	1
东京艺术大学音乐学部作曲科	1
内蒙古影视表演艺术学校影视表演	1
湖南师范大学音乐学院	1
国学院大学文学部	1
新疆音乐学院	1
北德克萨斯州大学	1
湖北医学院临床医学系	1
Los Osos High School	1
华东师范大学	1
北京舞蹈学院	1
AMUSEMENT MEDIA综合学院	1
西点军校	1
武警工程学院，并于解放军艺术学院进修	1
Hawaii Pacific University	1
埼玉县立越谷南高等学校	1
青山学院	1
同志社大学文学部哲学科 卒业	1
Atomic Monkey声优演技研究所	1
长沙理工大学	1
广西中医学院	1
大阪音乐大学	1
仁荷大学师范大学附属高中毕业，青云大学越南语专业	1
导演系硕士	1
比利时布鲁塞尔皇家音乐学院	1
京畿大学电子数码音乐系	1
铭传大学推广学士班应用英语系	1
康宁护专	1
美国圣地亚哥大学心理戏剧系	1
New York University ，New York University	1
首尔大学作曲系学士	1
吉首大学	1
高中Combermere	1
圣切契里亚音乐学院	1
新加坡永康中学（休学）	1
安城学园高等学校	1
ビジュアルアーツ専門学校	1
仁川大学社会体育系	1
东京设计学院发型设计科	1
翰林演艺艺术高中	1
发山高中	1
澳大利亚新南威尔士大学	1
和洋女子大学文学院文学系	1
辽宁朝阳师范	1
北京服装学院	1
剑桥	1
沈阳音乐学院 声乐教育系	1
东亚广播艺术大学	1
庆熙大学后现代音乐学系	1
湖北工业大学	1
庆应大学（2013－）	1
日本京都府立大学生命环境学部	1
世宗大学舞蹈系（中途退学）	1
桐朋学园大学短期大学部	1
圣保罗男女中学	1
慈幼中小学	1
四川大学	1
北京政法职业学院	1
易三仓ABAC大学旅游管理	1
纽约戏剧学院	1
The Maharishi School	1
东京芸术大学	1
香港大学工商管理系学士毕业	1
法国巴黎索邦大学	1
京畿大学多媒体影像学府	1
日本名古屋大学	1
威廉姆斯大学	1
山东菏泽音乐学院	1
胜田声优学院（第11期）	1
Kulturama艺术学校	1
中央大学亚洲文学专业	1
大阪府立枚方市西高等学校	1
格里昂酒店管理学院	1
铁岭县艺术团，吉林林越艺术团	1
中央工艺美院（清华美院）	1
西安音乐学院	1
早稻田大学体育科学部	1
佛教慈航中学	1
河南大学，中国传媒大学	1
新奥尔良洛约拉大学	1
攀枝花市第七中学	1
阿坝师范学院·中文系	1
东京艺术大学音乐学部	1
台北艺术大学戏剧系	1
日本圣心女子学院	1
敬远专科大学秘书学系	1
佛光大学人文社会学院（肄业）	1
中山大学	1
北京中央音乐学院日本东京艺术大学	1
京北学园	1
韩国翰林艺术高中	1
中学时辍学	1
香港培正中学	1
延世大学国语国文科	1
南京艺术学院流行音乐系	1
A&G Academy	1
庆应义塾大学	1
中央音乐学院(作曲系)	1
同志社大学	1
California International (USA) School	1
岐阜县加纳高等学校美术系	1
东国大学戏剧表演系	1
四川音乐学院	1
首尔综合艺术大学（SAC）	1
育达商职会计科	1
夏威夷大学旅馆管理系	1
大阪スクールオブミュージック専门学校	1
利物浦专校	1
RAMS Professional Education	1
大仁科技大学	1
武汉传媒学院表演系本科	1
台北市东方工商观光科	1
台湾金陵女中	1
首尔翰林艺术高等学校	1
东国大学戏剧学	1
アミューズメントメディア総合学院	1
玉川大学文学部艺术学科	1
达迈中学（新加坡）	1
安阳艺术高等学校毕业	1
广东外语外贸大学（休学）	1
上海第二医科大学	1
法国所邦大学	1
Seneca College（圣力嘉学院）	1
辽宁阜新戏校	1
广岛皆实高中	1
首尔艺术大学演技科	1
中国美院国画人物专业	1
骊州大学	1
専門学校東京アナウンス学院	1
暻园专门大学	1
基辅音乐学院	1
中山女高	1
马奎特大学	1
Taylor AllderdiceHigh School	1
东京都立早稻田大学社会科学部	1
马来西亚连曼莎拉吾达马学院	1
哈尔滨市第二十高级职业中学	1
青二塾东京14期	1
华中师范大学武汉传媒学院	1
北京中北国际演艺专修学校	1
韩国外国人大学	1
首尔翰林演艺艺术高中	1
东京艺术大学音乐系声乐专业	1
Pennsylvania State University	1
堀越高等学校（艺能班1年D班）	1
韩国秋季艺术大学 实用音乐系	1
北京解放军艺术学院舞蹈系	1
堀越高校	1
堀越高中，代代木动画学院	1
约翰逊州立学院	1
河北涿州艺术师范音乐系	1
东北工学院	1
神户学院大学	1
北京兴华大学	1
国立空中大学生活科学系	1
兰实大学艺术学院	1
南京艺术学院艺术管理专业	1
山东艺术学院	1
湖南城建职业技术学院肄业	1
河南科技大学	1
伦敦表演艺术与技术学校	1
加利福尼亚大学洛杉矶分校(UCLA)	1
本科毕业于中国传媒大学南广学院；研究生毕业于中国传媒大学	1
Plunkit College	1
伊利诺伊大学香槟分校	1
堀越高等学校（卒业）	1
香港无线训练班	1
pro-fit声优养成所	1
长崎大学	1
杭州电子工业学院	1
巴黎高等音乐学院	1
青二塾東京校	1
上海大学悉尼工商学院	1
韩国建国大学	1
伦敦大学中央圣马丁艺术与设计学院	1
中央大学文学部	1
无	1
齐鲁音乐学院	1
Fairfield Warde High School	1
Mt. Carmel High School	1
日本埼玉县立所泽高等学校	1
沈阳音乐学院（本科）	1
成均馆大学（就读中）	1
西北音乐学校	1
青海民族大学	1
暂无	1
韩国东洲大学实用音乐专业	1
普林斯顿匈奴学院	1
AMUSEMENT MEDIA ACADEMY	1
外交学院	1
L.C.休姆斯高中	1
华东政法学院	1
中央音乐学院民乐系	1
東京アナウンスアカデミー	1
拉曼大学会计学士	1
兰实大学	1
鹤岗高级职业学校	1
山东工艺美术学院	1
东英格利亚大学	1
吉林建筑大学管理学院工程管理专业	1
中央民族大学音乐学院	1
法国杜尔大学	1
清华大学，湖北美术学院	1
哈尔滨商业大学	1
St Peter's RC High School	1
同德女子大学校服装设计专业	1
神奈川县立横滨翠岚高等学校	1
西京大学表演艺术学院模特专科	1
韩国尚志大学	1
檀国大学大众文化艺术研究生院	1
北京现代音乐学院2010级表演系本科	1
台湾真理大学	1
台湾艺术大学	1
东北人民大学	1
四川师范大学电影电视学院	1
台湾花莲高农森林科	1
清华大学电子工程系	1
大连现代影视学院	1
日本音乐高等学校毕业	1
协和高中美工科	1
四川师范大学	1
台大会计系	1
吉林艺术学院流行音乐学院	1
电子科技大学07级通信与信息工程学院	1
北京大学艺术学院	1
浩源大学实用音乐系	1
西南航空专修学院	1
北京中央民族大学舞蹈表演系98级	1
清华大学	1
韩国全南大学戏剧电影系	1
东京Announce学院	1
博龙武术学院	1
韩国外国语大学日语系	1
西藏民族学院	1
翰林艺术高中	1
哈尔滨外国语学院06-5班	1
国际艺术大学（FB上的描述）	1
安徽大学	1
赫尔曼育学院	1
韩国百济艺术大学	1
福冈市立高宫中学校	1
明治学院大学	1
同德女子大学音乐系	1
东华三院吕润财纪念中学	1
国际关系学院	1
