company	count
合圆齐天国际文化发展（北京）有限公司	1
Stay Luck（声优事务所）	1
国韵文化（中）	1
有沐音乐	1
Nextar Entertainment	1
金南玲工作室	1
人山人海	1
华纳唱片	1
沈阳丝芭文化传媒有限公司	1
东芝EMI唱片公司	1
韩国YG娱乐公司	1
百娱传媒股份有限公司（中国）	1
东阳欢娱影视文化有限公司	1
BENJAMIN Entertainment	1
I'm enterprise	1
HD Entertainment	1
Big Beat	1
Pink Armchair Records (US)	1
林暐哲音乐社	1
UUUM	1
野火娱乐	1
星淘娱乐	1
NEW PLANET Entertainment	1
北京梦幻星辰传媒有限公司	1
J.Wide Company	1
邓丽君文教基金会	1
Kplus模特经纪公司	1
HOT & COLD	1
2012年 组合训练新团体bingirls	1
Illionaire Records	1
CJ E&M（MMO）	1
韩国H2 Media	1
北京华影传媒有限公司	1
群星瑞智国际娱乐股份有限公司	1
Star-Empire Entertainment	1
United Artists Agency	1
索尼音乐娱乐公司	1
S k y blue Entertainment	1
ZOO Entertainment	1
Ability Soul Pro	1
Nappy Boy娱乐	1
千和世纪	1
Sound Destruction!	1
We Rule Entertainment	1
我们凝聚（北京）文化传媒有限公司	1
成龙中国	1
广州新月演艺公司	1
TMS MUSIC（唱片公司）	1
响（声优事务所）	1
GP Entertainment	1
Pastel Music	1
正大国际	1
A3 PRODUCE（旗下艺人）	1
GREEN LEAVES	1
星梦娱乐集团有限公司	1
PANEntertainment	1
新湃传媒	1
亚洲电视	1
圣元互娱	1
萨摩亚商妮乐佛创意有限公司台湾分公司	1
spinning	1
Def Jam唱片公司	1
青二Production（声优事务所）	1
Freebandz	1
Atomic Monkey	1
君乐天禧传媒	1
Deram Records	1
君乐天禧	1
砂冈事务所	1
大无限音乐	1
艾迪升传播事业有限公司	1
Seven Seasons	1
Kstar娱乐公司	1
Yuleum Entertainment	1
海润影视制作有限公司	1
北京斯立文化传播有限公司	1
Original Triple Effect Studios	1
BMG唱片公司	1
Haewadal Entertainment	1
Polaris Entertainment	1
北京仨仁文化传媒有限公司	1
天狼音乐	1
Plan M Entertainment	1
C-jes娱乐	1
泽东电影	1
音华娱乐（内地经纪）	1
索尼	1
北京拾捌文化经纪有限公司	1
广州新月演艺经纪有限公司	1
81 Produce（声优事务所）	1
北京娱动力文化传媒有限公司	1
国际音乐集团	1
邓伦工作室	1
81produce（junior）	1
天涵有限公司	1
黑龙音乐工作室	1
anco&co.	1
三川娱乐	1
JF Entertainment	1
Stardust（星尘）	1
北京百乐华章国际文化传媒有限公司	1
泰国7台	1
波丽佳音	1
中港桃园马浚伟工作室	1
United Talent Agency	1
北京东雷文化传媒有限公司	1
巨声传媒	1
The Black Label	1
SQUARE·ENIX	1
YG Entertainment	1
共和国唱片	1
深圳市华音世纪文化传播有限公司	1
US唱片公司	1
百娱传媒股份有限公司（演出）	1
VERY GOO	1
ARTSVISION（声优事务所）	1
阔思音乐有限公司	1
No Genre	1
Maya Entertainment Limited	1
EA&C	1
星曜国际娱乐（全约）	1
BLUESKY	1
原SM Entertainment	1
Office t.b.	1
老鹰音乐	1
Darwin	1
七娱乐影业集团	1
Frontier Works	1
香港电视广播有限公司（TVB）	1
Viewga Entertainment	1
TOY'S FACTORY（唱片公司）	1
King Kong Entertainment	1
Polydor Records	1
SPACE CRAFT（事务所）	1
星娱乐唱片公司	1
立音国际	1
台湾飞碟唱片公司	1
BETTA FLASH	1
PPM华傲波士达	1
并且于2013年6月出道	1
滚石唱片	1
WM Entertainment	1
十三月音乐独立厂牌	1
井姐（上海）文化传播工作室	1
唱剑文化	1
IMAGINE	1
个人工作室	1
Around US	1
柏霖时创	1
Amuse事务所	1
S（事务所）	1
Happy Tribe Entertainment	1
北京冒牌文化传播有限公司	1
北京海蝶音乐有限公司	1
酝星传媒	1
华数唱片	1
Dongyo Entertainment	1
